Nombre,Tamaño,Tiempo,Iteraciones,ValorH
Simulated Annealing,10,0.026895761489868164,1645,0
Simulated Annealing,10,0.05077481269836426,3090,0
Simulated Annealing,10,0.16943645477294922,10000,1
Simulated Annealing,10,0.027595996856689453,1671,0
Simulated Annealing,10,0.019008874893188477,1060,0
Simulated Annealing,10,0.1583094596862793,8870,0
Simulated Annealing,10,0.02885293960571289,1745,0
Genetic Algorithm,10,0.7468900680541992,1000,0
Genetic Algorithm,10,0.7318785190582275,1000,1
Genetic Algorithm,10,0.7325775623321533,1000,1
Genetic Algorithm,10,0.7350304126739502,1000,1
Genetic Algorithm,10,0.7343885898590088,1000,0
Genetic Algorithm,10,0.7302722930908203,1000,0
Genetic Algorithm,10,0.7325987815856934,1000,1
Genetic Algorithm,10,0.7318799495697021,1000,1
Genetic Algorithm,10,0.7287335395812988,1000,1
Genetic Algorithm,10,0.74532151222229,1000,1
Genetic Algorithm,10,0.7364470958709717,1000,1
Genetic Algorithm,10,0.7266476154327393,1000,2
Genetic Algorithm,10,0.7294673919677734,1000,0
Genetic Algorithm,10,0.7272000312805176,1000,1
Genetic Algorithm,10,0.7331857681274414,1000,0
Genetic Algorithm,10,0.7343826293945312,1000,1
Genetic Algorithm,10,0.7296910285949707,1000,0
Genetic Algorithm,10,0.7329208850860596,1000,0
Genetic Algorithm,10,0.7294533252716064,1000,1
Genetic Algorithm,10,0.7297353744506836,1000,1
Genetic Algorithm,10,0.7324924468994141,1000,1
Genetic Algorithm,10,0.7312450408935547,1000,1
Genetic Algorithm,10,0.7918694019317627,1000,1
Genetic Algorithm,10,0.7350661754608154,1000,1
Genetic Algorithm,10,0.7418904304504395,1000,1
Genetic Algorithm,10,0.7246854305267334,1000,2
Genetic Algorithm,10,0.7152836322784424,1000,2
Genetic Algorithm,10,0.7252247333526611,1000,1
Genetic Algorithm,10,0.7296276092529297,1000,1
Genetic Algorithm,10,0.7312829494476318,1000,1
